tempo rho11 rho22 rho33 soma
fs
1 0.49998 0.49998 3.94774e-005 1
2 0.499921 0.499921 0.000157899 1
3 0.499822 0.499822 0.000355232 1
4 0.499684 0.499684 0.000631429 1
5 0.499507 0.499507 0.00098642 1
6 0.49929 0.49929 0.00142012 1
7 0.499034 0.499034 0.00193242 1
8 0.498738 0.498738 0.00252319 1
9 0.498404 0.498404 0.0031923 1
10 0.49803 0.49803 0.00393958 1
11 0.497618 0.497618 0.00476486 1
12 0.497166 0.497166 0.00566792 1
13 0.496676 0.496676 0.00664857 1
14 0.496147 0.496147 0.00770655 1
15 0.495579 0.495579 0.00884162 1
16 0.494973 0.494973 0.0100535 1
17 0.494329 0.494329 0.0113419 1
18 0.493647 0.493647 0.0127066 1
19 0.492926 0.492926 0.0141471 1
20 0.492168 0.492168 0.0156631 1
21 0.491373 0.491373 0.0172544 1
22 0.49054 0.49054 0.0189205 1
23 0.48967 0.48967 0.0206609 1
24 0.488762 0.488762 0.0224754 1
25 0.487818 0.487818 0.0243634 1
26 0.486838 0.486838 0.0263245 1
27 0.485821 0.485821 0.0283583 1
28 0.484768 0.484768 0.0304642 1
29 0.483679 0.483679 0.0326418 1
30 0.482555 0.482555 0.0348905 1
31 0.481395 0.481395 0.0372098 1
32 0.4802 0.4802 0.0395992 1
33 0.478971 0.478971 0.042058 1
34 0.477707 0.477707 0.0445858 1
35 0.476409 0.476409 0.0471818 1
36 0.475077 0.475077 0.0498455 1
37 0.473712 0.473712 0.0525763 1
38 0.472313 0.472313 0.0553734 1
39 0.470882 0.470882 0.0582363 1
40 0.469418 0.469418 0.0611642 1
41 0.467922 0.467922 0.0641565 1
42 0.466394 0.466394 0.0672124 1
43 0.464834 0.464834 0.0703312 1
44 0.463244 0.463244 0.0735122 1
45 0.461623 0.461623 0.0767546 1
46 0.459971 0.459971 0.0800577 1
47 0.45829 0.45829 0.0834206 1
48 0.456579 0.456579 0.0868426 1
49 0.454839 0.454839 0.0903228 1
50 0.45307 0.45307 0.0938605 1
51 0.451273 0.451273 0.0974547 1
52 0.449448 0.449448 0.101105 1
53 0.447595 0.447595 0.104809 1
54 0.445716 0.445716 0.108568 1
55 0.44381 0.44381 0.11238 1
56 0.441878 0.441878 0.116244 1
57 0.43992 0.43992 0.12016 1
58 0.437937 0.437937 0.124125 1
59 0.43593 0.43593 0.12814 1
60 0.433898 0.433898 0.132204 1
61 0.431843 0.431843 0.136315 1
62 0.429764 0.429764 0.140472 1
63 0.427662 0.427662 0.144675 1
64 0.425538 0.425538 0.148923 1
65 0.423393 0.423393 0.153214 1
66 0.421226 0.421226 0.157548 1
67 0.419039 0.419039 0.161923 1
68 0.416831 0.416831 0.166338 1
69 0.414604 0.414604 0.170793 1
70 0.412357 0.412357 0.175286 1
71 0.410092 0.410092 0.179816 1
72 0.407808 0.407808 0.184383 1
73 0.405508 0.405508 0.188985 1
74 0.40319 0.40319 0.19362 1
75 0.400855 0.400855 0.198289 1
76 0.398505 0.398505 0.202989 1
77 0.39614 0.39614 0.207721 1
78 0.393759 0.393759 0.212481 1
79 0.391365 0.391365 0.21727 1
80 0.388957 0.388957 0.222087 1
81 0.386535 0.386535 0.226929 1
82 0.384102 0.384102 0.231797 1
83 0.381656 0.381656 0.236688 1
84 0.379199 0.379199 0.241602 1
85 0.376731 0.376731 0.246538 1
86 0.374253 0.374253 0.251494 1
87 0.371765 0.371765 0.256469 1
88 0.369269 0.369269 0.261463 1
89 0.366764 0.366764 0.266473 1
90 0.364251 0.364251 0.271498 1
91 0.361731 0.361731 0.276538 1
92 0.359204 0.359204 0.281592 1
93 0.356671 0.356671 0.286657 1
94 0.354133 0.354133 0.291734 1
95 0.35159 0.35159 0.296819 1
96 0.349043 0.349043 0.301914 1
97 0.346492 0.346492 0.307015 1
98 0.343938 0.343938 0.312123 1
99 0.341382 0.341382 0.317236 1
100 0.338824 0.338824 0.322352 1
101 0.336265 0.336265 0.32747 1
102 0.333705 0.333705 0.33259 1
103 0.331145 0.331145 0.33771 1
104 0.328586 0.328586 0.342828 1
105 0.326028 0.326028 0.347944 1
106 0.323472 0.323472 0.353056 1
107 0.320918 0.320918 0.358164 1
108 0.318368 0.318367 0.363265 1
109 0.315821 0.31582 0.368359 1
110 0.313278 0.313278 0.373445 1
111 0.31074 0.31074 0.37852 1
112 0.308207 0.308207 0.383585 1
113 0.305681 0.305681 0.388638 1
114 0.303161 0.303161 0.393678 1
115 0.300649 0.300649 0.398703 1
116 0.298144 0.298144 0.403712 1
117 0.295648 0.295648 0.408705 1
118 0.293161 0.29316 0.413679 1
119 0.290683 0.290683 0.418634 1
120 0.288216 0.288215 0.423569 1
121 0.285759 0.285759 0.428482 1
122 0.283314 0.283313 0.433373 1
123 0.28088 0.28088 0.438239 1
124 0.27846 0.278459 0.443081 1
125 0.276052 0.276052 0.447896 1
126 0.273658 0.273658 0.452685 1
127 0.271278 0.271278 0.457444 1
128 0.268913 0.268913 0.462174 1
129 0.266563 0.266563 0.466873 1
130 0.26423 0.264229 0.471541 1
131 0.261912 0.261912 0.476176 1
132 0.259612 0.259612 0.480776 1
133 0.257329 0.257329 0.485342 1
134 0.255065 0.255065 0.489871 1
135 0.252819 0.252818 0.494363 1
136 0.250592 0.250592 0.498816 1
137 0.248385 0.248384 0.503231 1
138 0.246198 0.246198 0.507605 1
139 0.244032 0.244031 0.511937 1
140 0.241887 0.241886 0.516227 1
141 0.239763 0.239763 0.520474 1
142 0.237662 0.237662 0.524676 1
143 0.235584 0.235584 0.528832 1
144 0.233529 0.233529 0.532942 1
145 0.231498 0.231498 0.537005 1
146 0.229491 0.22949 0.541019 1
147 0.227508 0.227508 0.544984 1
148 0.225551 0.225551 0.548898 1
149 0.223619 0.223619 0.552761 1
150 0.221714 0.221714 0.556573 1
151 0.219835 0.219834 0.560331 1
152 0.217983 0.217982 0.564035 1
153 0.216158 0.216158 0.567685 1
154 0.214361 0.214361 0.571278 1
155 0.212592 0.212592 0.574816 1
156 0.210852 0.210852 0.578296 1
157 0.209141 0.209141 0.581717 1
158 0.20746 0.20746 0.58508 1
159 0.205809 0.205808 0.588383 1
160 0.204187 0.204187 0.591626 1
161 0.202597 0.202596 0.594807 1
162 0.201037 0.201037 0.597926 1
163 0.199509 0.199509 0.600983 1
164 0.198013 0.198012 0.603975 1
165 0.196548 0.196548 0.606904 1
166 0.195116 0.195116 0.609768 1
167 0.193717 0.193717 0.612566 1
168 0.192351 0.192351 0.615298 1
169 0.191019 0.191018 0.617963 1
170 0.18972 0.18972 0.62056 1
171 0.188456 0.188455 0.623089 1
172 0.187225 0.187225 0.62555 1
173 0.18603 0.186029 0.627941 1
174 0.184869 0.184869 0.630263 1
175 0.183744 0.183743 0.632513 1
176 0.182654 0.182653 0.634693 1
177 0.181599 0.181599 0.636802 1
178 0.180581 0.18058 0.638839 1
179 0.179599 0.179598 0.640803 1
180 0.178653 0.178653 0.642694 1
181 0.177744 0.177744 0.644512 1
182 0.176872 0.176872 0.646256 1
183 0.176037 0.176037 0.647926 1
184 0.17524 0.175239 0.649521 1
185 0.17448 0.174479 0.651041 1
186 0.173757 0.173756 0.652486 1
187 0.173072 0.173072 0.653856 1
188 0.172426 0.172425 0.655149 1
189 0.171817 0.171816 0.656366 1
190 0.171247 0.171246 0.657507 1
191 0.170715 0.170714 0.658571 1
192 0.170222 0.170221 0.659557 1
193 0.169767 0.169766 0.660467 1
194 0.169351 0.16935 0.661299 1
195 0.168974 0.168973 0.662053 1
196 0.168636 0.168635 0.662729 1
197 0.168337 0.168336 0.663327 1
198 0.168077 0.168076 0.663847 1
199 0.167856 0.167855 0.664289 1
200 0.167674 0.167674 0.664652 1
201 0.167532 0.167531 0.664937 1
202 0.167429 0.167428 0.665143 1
203 0.167365 0.167364 0.665271 1
204 0.167341 0.16734 0.66532 1
205 0.167355 0.167355 0.66529 1
206 0.16741 0.167409 0.665182 1
207 0.167503 0.167502 0.664995 1
208 0.167636 0.167635 0.664729 1
209 0.167808 0.167807 0.664386 1
210 0.168019 0.168018 0.663963 1
211 0.168269 0.168268 0.663463 1
212 0.168558 0.168558 0.662884 1
213 0.168887 0.168886 0.662227 1
214 0.169254 0.169253 0.661492 1
215 0.16966 0.16966 0.66068 1
216 0.170105 0.170104 0.65979 1
217 0.170589 0.170588 0.658823 1
218 0.171111 0.17111 0.657779 1
219 0.171672 0.171671 0.656658 1
220 0.17227 0.172269 0.65546 1
221 0.172907 0.172906 0.654186 1
222 0.173582 0.173581 0.652836 1
223 0.174295 0.174294 0.651411 1
224 0.175045 0.175044 0.64991 1
225 0.175833 0.175832 0.648335 1
226 0.176658 0.176657 0.646685 1
227 0.17752 0.177519 0.64496 1
228 0.178419 0.178418 0.643162 1
229 0.179355 0.179354 0.641291 1
230 0.180327 0.180326 0.639346 1
231 0.181336 0.181335 0.63733 1
232 0.18238 0.182379 0.635241 1
233 0.18346 0.183459 0.633081 1
234 0.184575 0.184574 0.63085 1
235 0.185726 0.185725 0.628549 1
236 0.186912 0.186911 0.626178 1
237 0.188132 0.188131 0.623737 1
238 0.189386 0.189385 0.621228 1
239 0.190675 0.190674 0.618651 1
240 0.191997 0.191996 0.616006 1
241 0.193353 0.193352 0.613295 1
242 0.194742 0.194741 0.610517 1
243 0.196164 0.196162 0.607674 1
244 0.197618 0.197617 0.604766 1
245 0.199104 0.199103 0.601793 1
246 0.200622 0.200621 0.598758 1
247 0.202171 0.20217 0.595659 1
248 0.203751 0.20375 0.592498 1
249 0.205362 0.205361 0.589277 1
250 0.207004 0.207002 0.585994 1
251 0.208675 0.208673 0.582652 1
252 0.210375 0.210374 0.579251 1
253 0.212105 0.212103 0.575792 1
254 0.213863 0.213861 0.572276 1
255 0.215649 0.215648 0.568703 1
256 0.217463 0.217462 0.565075 1
257 0.219305 0.219304 0.561391 1
258 0.221173 0.221172 0.557654 1
259 0.223069 0.223067 0.553864 1
260 0.22499 0.224988 0.550022 1
